Age,MaritalStatus,EmploymentStatus,EducationLevel,AnnualIncome,NetWorth,CreditScore,TotalLiabilities,TotalDebtToIncomeRatio,LoanAmount,LoanDuration,InterestRate
54.0,1.0,0.0,1.0,62519.0,75800.0,557.0,6260.0,0.135960474915548,13190.0,120.0,0.2851603097243171
38.0,2.0,0.0,3.0,39105.0,10609.0,552.0,71234.0,0.3561381291620084,17443.0,24.0,0.2288651866292762
33.0,3.0,0.0,0.0,30951.0,129650.0,581.0,33034.0,1.6221523727652811,99955.0,48.0,0.2802255604746952
32.0,2.0,0.0,1.0,22965.0,170202.0,458.0,8231.0,0.5142455154185743,23902.0,72.0,0.2869848291810039
24.0,1.0,1.0,1.0,145425.0,7262.0,595.0,56592.0,0.1247681525383627,36928.0,60.0,0.2384548319300586
40.0,1.0,0.0,0.0,15054.0,191368.0,546.0,3664.0,0.632948847990148,16202.0,60.0,0.2173396115621516
37.0,2.0,0.0,1.0,62495.0,8189.0,510.0,145143.0,0.239598076220876,18400.0,24.0,0.2257675663204943
38.0,2.0,1.0,1.0,48012.0,1494.0,571.0,57197.0,0.8611204242853658,32053.0,12.0,0.2389838986001356
49.0,1.0,0.0,1.0,31065.0,1969.0,655.0,52643.0,0.4691658557017015,34285.0,60.0,0.200110235502886
40.0,1.0,0.0,4.0,43410.0,2101.0,588.0,104141.0,0.6086963389406239,29187.0,36.0,0.2548429578401254
59.0,2.0,0.0,0.0,122684.0,113719.0,527.0,13144.0,0.2486469380252207,31008.0,36.0,0.2199213510243172
21.0,1.0,0.0,2.0,48563.0,51117.0,562.0,16646.0,0.2784385005773436,24806.0,48.0,0.2466135557874059
45.0,2.0,0.0,0.0,46529.0,261902.0,597.0,11239.0,0.2932807838742438,33614.0,60.0,0.248759262246533
58.0,2.0,0.0,1.0,96613.0,60997.0,652.0,35392.0,0.0636423599042567,8284.0,72.0,0.2040814746393915
29.0,2.0,0.0,0.0,19776.0,25507.0,564.0,58072.0,0.6628752005872557,28665.0,48.0,0.2195479156821802
24.0,1.0,0.0,1.0,22752.0,8825.0,516.0,34569.0,0.2838003477568055,5935.0,48.0,0.2569209406001957
40.0,2.0,0.0,1.0,22513.0,17289.0,522.0,7977.0,0.2093023648952847,8072.0,48.0,0.2522729863710637
62.0,1.0,2.0,1.0,53561.0,5148.0,620.0,26743.0,0.3757690969267305,24822.0,36.0,0.206105144283246
49.0,2.0,0.0,4.0,59409.0,27834.0,624.0,22542.0,0.1318578460604649,23206.0,72.0,0.1879765434570391
33.0,2.0,0.0,1.0,63977.0,9274.0,577.0,56288.0,0.1981860249109367,24189.0,48.0,0.2294862012494318
37.0,2.0,0.0,1.0,54348.0,61867.0,544.0,26650.0,0.2817275960274181,22597.0,36.0,0.2403366824804063
